iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,01/03/2022,173879,220,166.143,7609,11,5.714,4364.934,5.523,4.171,191.011,0.276,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,01/03/2022,11241607,5203,7731.714,248781,76,193.571,8184.723,3.788,5.629,181.131,0.055,0.141,,,,,,,,,,,,,,,,,,,409200735,254605391,168068070,12370813,2422584,1853757,29.79,18.54,12.24,0.9,1350,1039523,0.076,,1373486472,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,01/03/2022,271702,139,178.143,3472,3,3,94573.004,48.383,62.007,1208.521,1.044,1.044,,,,,,,,,,,,,,265,0.092,0.6722,1.5,tests performed,2708574,1270745,1198759,239070,,2779,94.28,44.23,41.73,8.32,967,533,0.019,,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,01/03/2022,265010,74,92.143,6840,5,4,5939.714,1.659,2.065,153.306,0.112,0.09,,13,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44616626,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,01/03/2022,38165,166,49.286,151,0,0,493381.079,2145.978,637.145,1952.065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,01/03/2022,98746,5,10.714,1900,0,0.143,2909.976,0.147,0.316,55.992,0,0.004,,,,,,,,,,,,,,1858,0.055,0.0058,173.4,tests performed,,,,,,,,,,,,,,,33933611,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,01/03/2022,2555,0,7,9,0,0,168925.62,0,462.81,595.041,0,0,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,2314,16,0.106,,15125,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,01/03/2022,7447,10,5.571,135,0,0,75429.463,101.288,56.432,1367.393,0,0,,,,,,,,,,,,,,,,,,,125031,63704,61327,,305,65,126.64,64.52,62.12,,658,24,0.024,,98728,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,01/03/2022,8904176,3520,6936,126257,105,91.286,195242.086,77.183,152.086,2768.44,2.302,2.002,,1136,24.909,,,,,,,18375,34283256,751.73,0.403,27305,0.599,0.088,11.4,tests performed,93602093,40351377,36093384,16866131,53186,150101,205.24,88.48,79.14,36.98,3291,17549,0.038,,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,,,
ARM,Asia,Armenia,01/03/2022,420156,324,520.857,8478,17,17.714,141555.89,109.16,175.483,2856.346,5.728,5.968,,,,,,,,,,4020,2903775,978.319,1.354,3924,1.322,0.111,9,tests performed,,,,,,,,,,,,,,,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
