iso_code,location,continent,total_cases_per_million2021,total_cases_per_million2022,growth_cases_per_million,total_deathsMar21,total_deathsMar22,growth_deaths,total_cases2021,total_cases2022,dtc_Ratio2022
AFG,Afghanistan,Asia,1399.081,4364.934,2.119857964,2444,7609,2.113338789,55733,173879,4.376031608
OWID_AFR,Africa,,2843.909,8184.723,1.877983438,104021,248781,1.391642072,3906070,11241607,2.213037691
ALB,Albania,Europe,37568.214,94573.004,1.517367581,1816,3472,0.911894273,107931,271702,1.277870608
DZA,Algeria,Africa,2538.404,5939.714,1.339940372,2987,6840,1.289923,113255,265010,2.581034678
AND,Andorra,Europe,140768.415,493381.079,2.504913222,110,151,0.372727273,10889,38165,0.395650465
AGO,Angola,Africa,614.553,2909.976,3.735109909,508,1900,2.74015748,20854,98746,1.924128572
AIA,Anguilla,North America,1190.083,168925.62,140.9444022,,9,#DIV/0!,18,2555,0.352250489
ATG,Antigua and Barbuda,North America,7789.077,75429.463,8.684005306,14,135,8.642857143,769,7447,1.812810528
ARG,Argentina,South America,46310.38,195242.086,3.215946533,52077,126257,1.424429211,2112023,8904176,1.417952655
ARM,Armenia,Asia,58021.756,141555.89,1.439703652,3195,8478,1.653521127,172216,420156,2.017821952
ABW,Aruba,North America,73772.098,314231.074,3.25948404,74,211,1.851351351,7908,33684,0.626410165
OWID_ASI,Asia,,5363.343,25196.367,3.697884696,399718,1355633,2.391473489,25092105,117879815,1.150012833
AUS,Australia,Oceania,1124.002,126289.15,111.3566951,909,5269,4.796479648,28986,3256772,0.161785965
AUT,Austria,Europe,50961.554,299072.041,4.868581657,8574,14841,0.730930721,460849,2704530,0.548745993
AZE,Azerbaijan,Asia,22953.546,76931.971,2.351637738,3223,9438,1.928327645,234662,786502,1.199996949
BHS,Bahamas,North America,21463.088,83509.274,2.890832205,179,771,3.30726257,8519,33146,2.326072528
BHR,Bahrain,Asia,70376.567,296079.895,3.207080675,452,1455,2.219026549,123039,517635,0.281086093
BGD,Bangladesh,Asia,3287.971,11691.733,2.555911229,8416,29045,2.451164449,546801,1944376,1.493795439
BRB,Barbados,North America,10826.95,192504.206,16.78009559,36,316,7.777777778,3115,55385,0.570551593
BLR,Belarus,Europe,30527.487,97561.789,2.195867023,1985,6493,2.271032746,288267,921263,0.704793311
BEL,Belgium,Europe,66392.007,306373.682,3.614616967,22106,30199,0.366099701,772294,3563841,0.847372259
BLZ,Belize,North America,30408.851,140209.674,3.610817883,315,650,1.063492063,12313,56773,1.144910433
BEN,Benin,Africa,436.43,2133.719,3.889029168,70,163,1.328571429,5434,26567,0.613543117
BMU,Bermuda,North America,11386.33,186191.458,15.35219232,12,123,9.25,707,11561,1.063921806
BTN,Bhutan,Asia,1111.681,16844.467,14.15224871,1,6,5,867,13137,0.045672528
