iso_code,continent,total_cases,gdp_per_capita
AFG,Asia,174582,1803.987
ALB,Europe,272210,11803.431
DZA,Africa,265265,13913.839
AGO,Africa,98806,5819.495
ATG,North America,7455,21490.943
ARG,South America,8936602,18933.907
ARM,Asia,421341,8787.58
ABW,North America,33732,35973.781
AUS,Oceania,3384217,44648.71
AUT,Europe,2867760,45436.686
AZE,Asia,789332,15847.419
BHS,North America,33171,27717.847
BHR,Asia,527135,43290.705
BGD,Asia,1947266,3523.984
BRB,North America,56124,16978.068
BLR,Europe,931002,17167.967
BEL,Europe,3586292,42658.576
BLZ,North America,56876,7824.362
BEN,Africa,26575,2064.236
BMU,North America,11634,50669.315
BTN,Asia,14798,8708.597
BOL,South America,895098,6885.829
BIH,Europe,372139,11713.895
BWA,Africa,263950,15807.374
BRA,South America,29056525,14103.452
BRN,Asia,88849,71809.251
BGR,Europe,1101326,18563.307
BFA,Africa,20751,1703.102
BDI,Africa,38150,702.225
KHM,Asia,132402,3645.07
CMR,Africa,119322,3364.926
CAN,North America,3336290,44017.591
CPV,Africa,55895,6222.554
CYM,North America,19373,49903.029
CAF,Africa,14320,661.24
TCD,Africa,7257,1768.153
CHL,South America,3188448,22767.037
CHN,Asia,111195,15308.712
COL,South America,6071704,13254.949
COM,Africa,8047,1413.89
COG,Africa,24020,4881.406
CRI,North America,814583,15524.995
CIV,Africa,81556,3601.006
HRV,Europe,1063828,22669.797
CYP,Europe,333238,32415.132
CZE,Europe,3629515,32605.906
COD,Africa,86154,808.133
DNK,Europe,2864063,46682.515
DJI,Africa,15550,2705.406
DMA,North America,11248,9673.367
DOM,North America,575949,14600.861
ECU,South America,836216,10581.936
EGY,Africa,490969,10550.206
SLV,North America,156364,7292.458
GNQ,Africa,15889,22604.873
ERI,Africa,9715,1510.459
EST,Europe,515708,29481.252
SWZ,Africa,69298,7738.975
ETH,Africa,468966,1729.927
FJI,Oceania,64019,8702.975
FIN,Europe,671773,40585.721
FRA,Europe,23110094,38605.671
GAB,Africa,47559,16562.413
GMB,Africa,11948,1561.767
GEO,Asia,1625372,9745.079
DEU,Europe,15897578,45229.245
GHA,Africa,160028,4227.63
GRC,Europe,2508472,24574.382
GRD,North America,13690,13593.877
GTM,North America,792503,7423.808
GIN,Africa,36397,1998.926
GNB,Africa,8033,1548.675
GUY,South America,63055,7435.047
HTI,North America,30385,1653.173
HND,North America,413699,4541.795
HKG,Asia,471617,56054.92
HUN,Europe,1800046,26777.561
ISL,Europe,140929,46482.958
IND,Asia,42967315,6426.674
IDN,Asia,5748725,11188.744
IRN,Asia,7089892,19082.62
IRQ,Asia,2308191,15663.986
IRL,Europe,1315100,67335.293
ISR,Asia,3673103,33132.32
ITA,Europe,13026112,35220.084
JAM,North America,128179,8193.571
JPN,Asia,5395143,39002.223
JOR,Asia,1638228,8337.49
KAZ,Asia,1392011,24055.588
KEN,Africa,323075,2993.028
KIR,Oceania,2986,1981.132
OWID_KOS,Europe,226625,9795.834
KWT,Asia,623159,65530.537
KGZ,Asia,200641,3393.474
LAO,Asia,144155,6397.36
LVA,Europe,701540,25063.846
LBN,Asia,1078249,13367.565
LSO,Africa,32707,2851.153
LBR,Africa,7384,752.788
LBY,Africa,497958,17881.509
LTU,Europe,931824,29524.265
LUX,Europe,186360,94277.965
MAC,Asia,82,104861.851
MDG,Africa,63791,1416.44
MWI,Africa,85429,1095.042
MYS,Asia,3622607,26808.164
MDV,Asia,172576,15183.616
MLI,Africa,30398,2014.306
MLT,Europe,71899,36513.323
MHL,Oceania,7,3819.202
MRT,Africa,58649,3597.633
MUS,Africa,169796,20292.745
MEX,North America,5564985,17336.469
FSM,Oceania,1,3299.464
MDA,Europe,505393,5189.972
