location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Afghanistan,AFG,11/05/2021,504502,448878,55624,,,13921,1.27,1.13,0
Afghanistan,AFG,20/05/2021,547901,470341,77560,,,4822,1.38,1.18,0
Afghanistan,AFG,24/05/2021,573277,476367,96910,,,5692,1.44,1.2,0
Afghanistan,AFG,26/05/2021,590454,479372,111082,,,6768,1.48,1.2,0
Afghanistan,AFG,27/05/2021,593313,479574,113739,,2859,6487,1.49,1.2,0
Afghanistan,AFG,30/05/2021,600152,480226,119926,,,4746,1.51,1.21,0
Afghanistan,AFG,02/06/2021,626290,481690,144600,,,5119,1.57,1.21,0
Afghanistan,AFG,03/06/2021,630305,481800,148505,,4015,5285,1.58,1.21,0
Afghanistan,AFG,08/06/2021,641295,482952,158343,,,3388,1.61,1.21,0
Afghanistan,AFG,14/06/2021,662003,484737,177266,,,3272,1.66,1.22,0
Afghanistan,AFG,22/06/2021,765890,582128,183762,,,12986,1.92,1.46,0
Afghanistan,AFG,27/06/2021,835694,649434,186260,,,13682,2.1,1.63,0
Afghanistan,AFG,30/06/2021,886854,699200,187654,,,15286,2.23,1.76,0
Afghanistan,AFG,05/07/2021,915671,726349,189322,,,8989,2.3,1.82,0
Afghanistan,AFG,07/07/2021,934463,735213,199250,,,6801,2.35,1.85,0.01
Afghanistan,AFG,11/07/2021,962093,742934,219159,,,7455,2.42,1.87,0.01
Afghanistan,AFG,20/08/2021,1201286,770542,430744,,,1119,3.02,1.93,0.01
Afghanistan,AFG,14/11/2021,4018197,3530173,3188609,,,36635,10.09,8.86,0.08
Afghanistan,AFG,27/12/2021,4674518,4142857,3753224,,,15263,11.73,10.4,0.09
Afghanistan,AFG,09/01/2022,4903368,4358570,3809353,,,17604,12.31,10.94,0.1
Afghanistan,AFG,11/01/2022,4925111,4378818,3814837,,,15680,12.36,10.99,0.1
Afghanistan,AFG,13/01/2022,4954809,4405897,3823786,,,14893,12.44,11.06,0.1
Afghanistan,AFG,17/01/2022,4985047,4432926,3832821,,,10115,12.51,11.13,0.1
Afghanistan,AFG,19/01/2022,5004050,4450211,3836731,,,9156,12.56,11.17,0.1
Afghanistan,AFG,24/01/2022,5046054,4486527,3851307,,,8715,12.67,11.26,0.1
Afghanistan,AFG,26/01/2022,5074196,4511372,3866279,,,10021,12.74,11.33,0.1
Afghanistan,AFG,27/01/2022,5081064,4517380,3868832,,6868,9802,12.76,11.34,0.1
Afghanistan,AFG,31/01/2022,5125146,4554648,3892831,,,11299,12.87,11.43,0.1
Afghanistan,AFG,02/02/2022,5152297,4577740,3912336,,,11157,12.93,11.49,0.1
Afghanistan,AFG,07/02/2022,5216998,4634282,3959887,,,13122,13.1,11.63,0.1
Afghanistan,AFG,14/02/2022,5321308,4723416,4043580,,,14901,13.36,11.86,0.1
Afghanistan,AFG,20/02/2022,5412309,4801524,4125717,,,15129,13.59,12.05,0.1
