location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Afghanistan,AFG,2021-05-11,504502,448878,55624,,,13921,1.27,1.13,0
Afghanistan,AFG,2021-05-20,547901,470341,77560,,,4822,1.38,1.18,0
Afghanistan,AFG,2021-05-24,573277,476367,96910,,,5692,1.44,1.2,0
Afghanistan,AFG,2021-05-26,590454,479372,111082,,,6768,1.48,1.2,0
Afghanistan,AFG,2021-05-27,593313,479574,113739,,2859,6487,1.49,1.2,0
Afghanistan,AFG,2021-05-30,600152,480226,119926,,,4746,1.51,1.21,0
Afghanistan,AFG,2021-06-02,626290,481690,144600,,,5119,1.57,1.21,0
Afghanistan,AFG,2021-06-03,630305,481800,148505,,4015,5285,1.58,1.21,0
Afghanistan,AFG,2021-06-08,641295,482952,158343,,,3388,1.61,1.21,0
Afghanistan,AFG,2021-06-14,662003,484737,177266,,,3272,1.66,1.22,0
Afghanistan,AFG,2021-06-22,765890,582128,183762,,,12986,1.92,1.46,0
Afghanistan,AFG,2021-06-27,835694,649434,186260,,,13682,2.1,1.63,0
Afghanistan,AFG,2021-06-30,886854,699200,187654,,,15286,2.23,1.76,0
Afghanistan,AFG,2021-07-05,915671,726349,189322,,,8989,2.3,1.82,0
Afghanistan,AFG,2021-07-07,934463,735213,199250,,,6801,2.35,1.85,0.01
Afghanistan,AFG,2021-07-11,962093,742934,219159,,,7455,2.42,1.87,0.01
Afghanistan,AFG,2021-08-20,1201286,770542,430744,,,1119,3.02,1.93,0.01
Afghanistan,AFG,2021-11-14,4018197,3530173,3188609,,,36635,10.09,8.86,0.08
Afghanistan,AFG,2021-12-27,4674518,4142857,3753224,,,15263,11.73,10.4,0.09
Afghanistan,AFG,2022-01-09,4903368,4358570,3809353,,,17604,12.31,10.94,0.1
Afghanistan,AFG,2022-01-11,4925111,4378818,3814837,,,15680,12.36,10.99,0.1
Afghanistan,AFG,2022-01-13,4954809,4405897,3823786,,,14893,12.44,11.06,0.1
Afghanistan,AFG,2022-01-17,4985047,4432926,3832821,,,10115,12.51,11.13,0.1
Afghanistan,AFG,2022-01-19,5004050,4450211,3836731,,,9156,12.56,11.17,0.1
Afghanistan,AFG,2022-01-24,5046054,4486527,3851307,,,8715,12.67,11.26,0.1
Afghanistan,AFG,2022-01-26,5074196,4511372,3866279,,,10021,12.74,11.33,0.1
Afghanistan,AFG,2022-01-27,5081064,4517380,3868832,,6868,9802,12.76,11.34,0.1
Afghanistan,AFG,2022-01-31,5125146,4554648,3892831,,,11299,12.87,11.43,0.1
Afghanistan,AFG,2022-02-02,5152297,4577740,3912336,,,11157,12.93,11.49,0.1
Afghanistan,AFG,2022-02-07,5216998,4634282,3959887,,,13122,13.1,11.63,0.1
Afghanistan,AFG,2022-02-14,5321308,4723416,4043580,,,14901,13.36,11.86,0.1
Afghanistan,AFG,2022-02-20,5412309,4801524,4125717,,,15129,13.59,12.05,0.1
Afghanistan,AFG,2022-02-27,5535254,4907058,4231984,,,17564,13.9,12.32,0.11
Afghanistan,AFG,2022-03-06,5597130,4952744,4281934,,,8839,14.05,12.43,0.11
Africa,OWID_AFR,2021-02-23,2854362,2799750,86927,,102549,140359,0.21,0.2,0
Africa,OWID_AFR,2021-02-24,3151789,3091099,102499,,299231,161949,0.23,0.23,0
Africa,OWID_AFR,2021-02-25,3435126,3367981,119792,,280613,183228,0.25,0.25,0
Africa,OWID_AFR,2021-02-26,3677781,3557825,183604,,244459,201588,0.27,0.26,0
